2020-09-05 12:53:16.559 DEBUG    [detect_vehicles] Contour #117: pos=(x=455, y=80) size=(w=13, h=24) valid=False
2020-09-05 12:53:16.560 DEBUG    [detect_vehicles] Contour #118: pos=(x=466, y=72) size=(w=17, h=11) valid=False
2020-09-05 12:53:16.561 DEBUG    [detect_vehicles] Contour #119: pos=(x=162, y=71) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.561 DEBUG    [detect_vehicles] Contour #120: pos=(x=33, y=67) size=(w=15, h=23) valid=False
2020-09-05 12:53:16.561 DEBUG    [detect_vehicles] Contour #121: pos=(x=367, y=66) size=(w=15, h=14) valid=False
2020-09-05 12:53:16.562 DEBUG    [detect_vehicles] Contour #122: pos=(x=315, y=65) size=(w=14, h=13) valid=False
2020-09-05 12:53:16.562 DEBUG    [detect_vehicles] Contour #123: pos=(x=306, y=64) size=(w=8, h=9) valid=False
2020-09-05 12:53:16.563 DEBUG    [detect_vehicles] Contour #124: pos=(x=523, y=63) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.563 DEBUG    [detect_vehicles] Contour #125: pos=(x=252, y=45) size=(w=8, h=8) valid=False
2020-09-05 12:53:16.563 DEBUG    [detect_vehicles] Contour #126: pos=(x=1152, y=44) size=(w=10, h=28) valid=False
2020-09-05 12:53:16.563 DEBUG    [detect_vehicles] Contour #127: pos=(x=368, y=42) size=(w=14, h=18) valid=False
2020-09-05 12:53:16.564 DEBUG    [detect_vehicles] Contour #128: pos=(x=322, y=42) size=(w=16, h=24) valid=False
2020-09-05 12:53:16.564 DEBUG    [detect_vehicles] Contour #129: pos=(x=250, y=37) size=(w=7, h=7) valid=False
2020-09-05 12:53:16.564 DEBUG    [detect_vehicles] Contour #130: pos=(x=424, y=35) size=(w=7, h=8) valid=False
2020-09-05 12:53:16.564 DEBUG    [detect_vehicles] Contour #131: pos=(x=1154, y=23) size=(w=10, h=9) valid=False
2020-09-05 12:53:16.565 DEBUG    [detect_vehicles] Contour #132: pos=(x=10, y=19) size=(w=18, h=33) valid=False
